,trial,ra,dec,elon,elat,r2,p,s,r1,teff1,vmag,icmag,tmag,jmag,kmag,npt_pri,snrf,dm,mult,hostID,ffiClass
2708,17.0,33.8414115906,-34.38539505,16.0358009338,-44.5045204163,1.72594222956,9.38727378845,2.57720661163,0.257161557674,3364.8894043,12.3454637527,10.0370798111,9.93669128418,8.74875259399,7.99431085587,4.0,57.7887191772,0.550000011921,3.0,1002.0,2.0
2709,17.0,33.8414115906,-34.38539505,16.0358009338,-44.5045204163,2.04117917898,25.2945995331,0.687329173088,0.257161557674,3364.8894043,12.3454637527,10.0370798111,9.93669128418,8.74875259399,7.99431085587,4.0,45.1300773621,0.550000011921,3.0,1002.0,2.0
2808,17.0,35.863494873,-38.6569099426,15.1432886124,-49.0333595276,7.00851173151,2.57484078407,226.604522705,0.747200131416,4797.33447266,15.1312379837,14.0685606003,14.1420001984,13.3070001602,12.6909999847,4.0,13.4576091766,8.5,0.0,1395.0,3.0
2809,17.0,34.5232810974,-38.6384849548,13.7755689621,-48.5011177063,3.9801294047,3.76193594933,807.929016113,1.24714255333,6151.76904297,11.2779912949,10.6788797379,10.7259998322,10.251999855,9.96500015259,4.0,15.3887462616,7.19999980927,0.0,867.0,3.0
2903,17.0,28.902545929,-42.3372459412,5.28727388382,-49.46692276,14.5806643539,3.77719020844,2277.72387695,2.26267647743,6053.40966797,9.91043281555,9.29399967194,9.34300041199,8.84799957275,8.54399967194,2.0,64.7507095337,7.05000019073,1.0,765.0,3.0
2904,17.0,34.5664901733,-42.0967102051,11.0737924576,-51.4924278259,5.75576363499,5.4208278656,1230.58618164,1.97393202782,6095.37011719,11.549656868,10.9481992722,10.9969997406,10.5010004044,10.1940002441,4.0,11.3282699585,8.39999961853,0.0,841.0,3.0
2905,17.0,29.2784748077,-42.0130233765,5.91537189484,-49.3416557312,6.54814872513,14.9012680054,11.8135852814,0.624120891094,4365.69677734,14.178232193,12.800406456,12.7335309982,11.9247589111,11.1673412323,2.0,17.5083293915,6.44999980927,1.0,532.0,3.0
2970,17.0,23.9334926605,-44.6022529602,358.740722656,-49.387802124,1.93037291747,11.3101568222,4.21793031693,0.395593285561,3565.56567383,13.3217887878,11.2310342789,11.145939827,10.0453166962,9.26073265076,2.0,8.98828601837,2.95000004768,2.0,663.0,2.0
3013,17.0,20.7491531372,-46.6537742615,354.115234375,-49.8128814697,3.79200305713,3.59936857224,500.900665283,1.04981708527,5794.28710938,11.698132515,10.9994802475,11.0530004501,10.5059995651,10.1590003967,2.0,12.8198289871,6.94999980927,1.0,110.0,3.0
3067,17.0,15.2608509064,-46.9063568115,349.220581055,-47.8602867126,3.11274288655,4.06435728073,910.040283203,1.35085070133,6324.12011719,11.4218549728,10.8636798859,10.9079999924,10.4670000076,10.2080001831,4.0,7.32625722885,7.65000009537,1.0,133.0,3.0
3068,17.0,12.4789352417,-46.0846176147,347.588287354,-46.0988960266,2.79331854022,3.48053812981,203.119506836,0.76620131731,5037.21533203,13.0429954529,12.0621318817,12.0167484283,11.409784317,10.8585252762,4.0,9.62633132935,6.80000019073,1.0,1255.0,3.0
3069,17.0,13.7034435272,-49.0838737488,346.035186768,-49.0280342102,3.380571556,14.6429901123,32.2881851196,0.739363372326,5284.453125,11.177901268,10.3358001709,10.3999996185,9.72099971771,9.24600028992,4.0,27.2634105682,5.15000009537,0.0,962.0,2.0
3070,17.0,15.9202013016,-47.4580154419,349.294769287,-48.5693016052,2.9412854865,16.3590240479,0.913069486618,0.220301643014,3280.95898438,17.0552043915,14.6004571915,14.5026063919,13.2310848236,12.4599180222,4.0,8.27196407318,4.59999990463,1.0,1503.0,2.0
3167,17.0,7.90134620667,-46.9951858521,343.130249023,-45.0924987793,2.96529817152,9.14384174347,119.646133423,0.87324911356,5915.6171875,11.4704065323,10.8155994415,10.8680000305,10.3369998932,9.99600028992,2.0,8.58701896667,6.40000009537,1.0,703.0,3.0
3228,17.0,1.71362638474,-42.9246940613,341.084747314,-39.3124504089,4.54173458897,4.50301599503,421.359222412,1.1092236042,5754.39941406,11.9159460068,11.2078800201,11.2629995346,10.7060003281,10.3479995728,2.0,14.0715656281,7.25,0.0,655.0,3.0
3323,17.0,351.926330566,-37.8969116211,336.112731934,-31.2968082428,9.32494111383,3.55116915703,263.221557617,0.791149020195,5457.57861328,11.4440565109,10.6575193405,10.7189998627,10.0869998932,9.65600013733,2.0,60.5072402954,5.75,0.0,1534.0,3.0
3324,17.0,351.989868164,-38.8887329102,335.624389648,-32.1988868713,11.3596361752,7.26941823959,242.499221802,1.08167850971,5929.25341797,11.2243947983,10.5715198517,10.6239995956,10.1020002365,9.77099990845,2.0,50.9137992859,6.65000009537,1.0,1569.0,3.0
3325,17.0,353.653137207,-37.6369743347,337.672973633,-31.6981430054,3.38963290825,20.7216739655,0.289987802505,0.146707609296,2999.16259766,15.9885559082,13.7099199295,13.8159999847,12.0279998779,11.2469997406,2.0,10.8077497482,2.20000004768,2.0,1191.0,2.0
3507,17.0,30.6770401001,-10.9714422226,24.4466381073,-21.9532985687,5.05665827018,14.2560873032,21.9988307953,0.704650104046,4843.3828125,13.169301033,12.0524520874,12.0044107437,11.3343610764,10.7241353989,2.0,12.2873020172,6.40000009537,0.0,41.0,3.0
3552,17.0,34.057888031,-14.0231113434,26.5780067444,-26.0047969818,2.71971501012,3.92996788025,111.274147034,0.674884736538,4776.85546875,10.8688898087,9.76759433746,9.71698093414,9.03685092926,8.4083070755,2.0,12.9197511673,4.0,2.0,193.0,2.0
3553,17.0,33.056060791,-13.7392549515,25.6902599335,-25.3830833435,3.62748335011,2.35886478424,19.9425315857,0.301883250475,3405.8503418,16.0857257843,13.7998752594,13.6998319626,12.51491642,11.7413806915,2.0,16.9601097107,4.69999980927,2.0,480.0,2.0
3601,17.0,37.3939476013,-18.8770160675,27.9289035797,-31.6961460114,2.88875056522,14.4274721146,56.8493614197,0.915171384811,5623.41308594,10.4019212723,9.6647195816,9.72299957275,9.13599967957,8.7469997406,2.0,8.24530220032,5.19999980927,1.0,417.0,2.0
